modelica.stopTime,modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
'2678400',110226518.712,86.1620157431,1.16561811387,775381343.90654361,1810576461093.1299
'2678400',73811193.8206,101.567570988,1.44392989463,1280289384.6333899,2057169806872.1401
'2678400',117114505.021,80.4416148618,1.09503308814,686204739.45435178,1748066331630.5723
'2678400',59570046.8802,95.8814938925,1.34329346236,1300483375.643007,1968363084457.9009
'2678400',103063504.07,91.5681049875,1.12088039826,795790614.52703595,1771121371849.4473
'2678400',70022369.8652,97.5363906578,1.20283753641,1081467602.7589889,1844022198166.4966
'2678400',153467148.14,95.2176378357,1.45540847247,860850340.78971124,2066286981960.0579
'2678400',160049325.267,93.1807609704,1.24499131237,721896852.23632812,1880170086145.0415
'2678400',74936926.5984,111.219188007,1.02009701521,966019974.63026416,1664761744082.9116
'2678400',156941981.45,86.0534448907,1.11375433321,627850052.45183694,1764154762821.3281
'2678400',25351694.9006,112.221225762,1.43720909366,2590525915.8745089,2051901060328.6465
'2678400',105892478.43,102.223148039,1.44335258725,1063918728.680512,2056240059028.2053
'2678400',90708624.2981,117.907380703,1.36143856147,1179851285.9006164,1984032716436.6934
'2678400',45353568.4296,81.3453439703,1.1420800962,1181543626.9998517,1790604816588.5938
'2678400',163972044.938,83.5783331428,1.36020282844,735409114.73347998,1981921305747.0146
'2678400',107381633.835,97.9860816328,1.31892140551,941868140.22180712,1946189162591.7981
'2678400',80515339.7632,87.0027930375,1.45245698614,1118889579.2117269,2064585911826.0601
'2678400',164901660.461,102.227325931,1.14646574419,690488030.9095701,1793042233720.4934
'2678400',21895427.7101,117.418599613,1.06995140829,1845603441.0976772,1721960276420.0115
'2678400',119977289.729,85.7425251238,1.0810820178,693304581.94728696,1733291069842.4424
'2678400',114450432.608,105.021448985,1.43456814313,1030085075.5449617,2048374194365.053
'2678400',101876781.033,81.5557923174,1.24151272202,833021382.66287613,1877772251673.2654
'2678400',78882368.1647,100.013501035,1.1521932447,986270405.24290299,1799128602501.2717
'2678400',26777234.4799,96.6835068904,1.13639636118,1619610016.2876496,1785845105200.5537
'2678400',91878978.7609,102.832106339,1.35896573037,1076154285.3915358,1981803571390.897
'2678400',126155717.89,92.683220128,1.06871036517,696933685.81477058,1719215236937.5122
'2678400',48632112.6608,112.828384693,1.29048654828,1583379977.7667239,1921835127838.6631
'2678400',9140003.79245,104.534239891,1.26635416772,2897604789.4614687,1901025433210.906
'2678400',144443948.013,108.420284536,1.02583543396,682757459.41496742,1670446951473.0442
'2678400',82944723.589,81.3282633341,1.29648497913,951301951.12020624,1926624717293.8921
'2678400',64589304.9649,101.604974738,1.03962699984,1006958816.7176219,1687018887934.3157
'2678400',16169551.0054,109.929105912,1.21800551131,2088561500.7555947,1858168832822.1711
'2678400',9741147.89656,110.729580446,1.25077324928,3352554822.352634,1887238369199.4341
'2678400',154200075.341,103.293110155,1.41960436018,875762184.36147225,2034655359129.4211
'2678400',152595281.24,104.563534943,1.28319868055,803767022.39118886,1914080393886.5122
'2678400',65570077.4772,82.5952850006,1.46950055269,1223821075.8206952,2076658699340.9622
'2678400',86923451.763,116.79468266,1.0770490341,962752574.47117603,1729176979644.1982
'2678400',153601688.91,92.3851539747,1.36627741084,801543169.18012989,1987472649392.866
'2678400',99979396.3765,107.760441241,1.01845465766,810906822.08050931,1662586130910.7078
'2678400',17713904.7517,83.5662234788,1.08937113015,1817259673.1750069,1744019983076.2136
'2678400',72540919.1326,118.983041444,1.15466467276,1145381225.590678,1801423042432.7373
'2678400',59017876.1098,109.348318462,1.25727543179,1328610897.8452561,1892324276156.7163
'2678400',164153464.338,116.780915549,1.17806447397,763706827.56360126,1821028016804.6165
'2678400',123649026.22,89.4501493788,1.19626549306,768858665.43857968,1837520094326.4727
'2678400',74841547.3547,88.6048953769,1.35988873471,1103337896.3784266,1982814277721.9419
'2678400',91876588.5444,91.5517862145,1.33665392003,999979933.74648416,1962050585869.8228
'2678400',49754508.7138,84.9556162371,1.21012342233,1214642585.3674004,1850720100400.8555
'2678400',53838754.3138,96.9633544107,1.05672106095,1106414476.1265843,1706531934886.5845
'2678400',138369036.218,82.7639051511,1.06642491303,627829754.50004756,1716447203915.3364
'2678400',117142623.352,103.566634932,1.36365012387,959921458.56930542,1985632859170.8855
'2678400',88182295.3158,86.0854076581,1.47307021924,1083099726.7665617,2082264673176.4885
'2678400',9621336.17615,99.7691515023,1.15473929136,2371480638.0941997,1802305817103.4595
'2678400',9145798.0323,113.895463868,1.36355281479,3784505525.5402222,1986989458671.832
'2678400',20353537.1763,93.5404578782,1.05534740989,1646762635.4296987,1705416689547.5581
'2678400',120188541.887,91.8681516587,1.16410909779,768747327.10697973,1809137988036.0991
'2678400',164050652.129,111.537985974,1.25281775967,789359775.23151386,1887106094354.4797
'2678400',21920422.7233,98.1579538613,1.1908442067,2189892893.3852301,1834064033494.9709
'2678400',118794380.419,100.975599308,1.39206867353,965760492.78200078,2010733447919.7573
'2678400',89441462.8284,83.2563819263,1.19769758203,865583005.47817957,1839196103947.6165
'2678400',66898078.7542,108.999286052,1.42602978594,1386314182.888526,2041447629612.1477
'2678400',60839613.9113,95.2169487872,1.1800611353,1132554268.6294727,1824000260744.9993
'2678400',138191287.95,107.614390935,1.35275119389,899581145.89572108,1975754315329.6343
'2678400',129558864.95,109.625437435,1.06816931484,751396794.31729877,1718600515195.5833
'2678400',30740561.6114,107.227294541,1.01774634536,1637353618.6842217,1662658564359.1523
'2678400',14794844.0299,104.383953104,1.08793730281,2259508823.8420372,1742442640379.6111
'2678400',110257829.912,111.911193934,1.48605570743,1124163830.7260542,2093966728539.9404
'2678400',152567924.643,111.874529063,1.48302116028,957658900.69423401,2090771966428.9641
'2678400',152078297.241,95.4670724818,1.43656910573,857033490.85795987,2049649626817.4565
'2678400',103018557.865,111.64927722,1.16305455984,916874027.95368636,1808449682723.9456
'2678400',82485241.8198,116.833006426,1.14894735048,1055310685.8197867,1796238172867.0173
'2678400',123315578.979,107.270420564,1.22019925548,863832762.64578032,1858731302157.491
'2678400',99582679.8163,113.759902296,1.16212351929,946351539.7997942,1807670922816.0938
'2678400',77658938.9764,118.342436029,1.12174792147,1068540378.8805929,1772249499368.6729
'2678400',46107484.3056,86.1665195856,1.24540960418,1305228064.3638747,1881976393698.3127
'2678400',113927466.961,87.3377748254,1.46116960715,955318931.84301674,2071847574265.0789
'2678400',33830089.608,91.3211943528,1.2822417828,1715369845.1305428,1914723864807.4316
'2678400',124443345.728,106.211190604,1.4964398452,1035274512.780092,2102924767227.6721
'2678400',150039560.852,114.624180656,1.4389610984,952664710.63468528,2051854777751.1692
'2678400',84212447.5316,110.698082341,1.04049443446,920393773.41493094,1687766330827.1057
'2678400',151595167.658,101.653292858,1.15472472485,721004477.20785797,1800498009246.1279
'2678400',36309922.3321,86.7141367341,1.38707849167,1732650761.5092008,2007395352904.9167
'2678400',158237369.47,115.577457296,1.22797286234,800177308.62904644,1865218176097.5425
'2678400',9278616.12329,97.1712388174,1.32977948907,2640596235.0449042,1957114933667.2869
'2678400',37454679.8959,97.1174066157,1.39249975934,1848467588.1160681,2012184944769.0149
'2678400',139720696.691,80.1830467877,1.02498324774,590735364.54201972,1669452571995.8201
'2678400',137650540.985,83.1651055353,1.42693446573,833410637.64618719,2040713384638.0837
'2678400',76963596.6472,96.0815642717,1.39745959085,1171911401.5701339,2016024217402.5825
'2678400',85898636.0288,116.62638672,1.17920317602,1057108123.9768518,1822948863629.7031
'2678400',157683252.849,80.9801041643,1.42586301002,771315592.62238753,2037836353988.1704
'2678400',112554916.752,119.538559482,1.17679298562,928934226.25579774,1820497741396.345
'2678400',128565654.443,91.5193162418,1.13639366528,725974981.00880563,1784532779724.3679
'2678400',31835056.4037,103.823500975,1.08606927343,1686226913.901402,1740096047768.4517
'2678400',90973345.2432,109.473059922,1.03184617355,867365834.69933951,1677877812379.8433
'2678400',38957364.7419,86.1687124666,1.49088009664,1729028770.0861859,2098133464277.2273
'2678400',11083730.3014,98.285821092,1.21623870603,3391509833.313488,1856674480550.342
'2678400',55628866.6021,91.5761384221,1.49262304804,1458159982.0186064,2100462219725.3799
'2678400',51406071.1949,85.7481885279,1.12028481619,1099093405.2267616,1771254521714.519
'2678400',56239409.5835,88.6637707491,1.42574359895,1360008292.9423487,2041306917719.8667
'2678400',153539146.154,94.7045562365,1.32865577041,790415848.73487198,1954222594365.9919
'2678400',48766392.3752,114.10946561,1.12463018022,1359315016.1646085,1775163238317.1497
'2678400',69044285.4759,90.7036089378,1.26461854184,1094119022.3714368,1898653394092.1504
'2678400',26287830.2045,105.281437276,1.45413636843,2448008976.1374545,2066854114285.5388
'2678400',27225360.2479,109.505064324,1.49818683246,2698629752.9329524,2105335371804.457
'2678400',154675078.769,101.309730189,1.35166890108,828445768.85281849,1974579977098.6428
'2678400',43866432.064,99.4865502198,1.0851437011,1255100406.9119294,1738886075912.811
'2678400',36273911.2569,91.1676811906,1.32409606968,1644554974.7198925,1951703308673.021
